RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS
124,119,Jeff Maggert,79,-.066,-5.112,78
125,122,Chris DiMarco,79,-.068,-4.306,63
126,131,Cameron Beckman,96,-.072,-6.150,85
127,126,Tom Byrum,50,-.077,-3.165,41
128,122,Brian Bateman,55,-.079,-3.464,44
129,128,Jim Furyk,84,-.083,-5.447,66
129,129,Brendon de Jonge,76,-.083,-5.473,66
131,131,Billy Mayfair,98,-.086,-7.159,83
131,130,Steve Lowery,74,-.086,-5.916,69
133,139,Chris Stroud,66,-.087,-4.871,56
134,125,Jason Dufner,100,-.089,-7.744,87
135,133,Joey Sindelar,75,-.102,-6.817,67
136,134,Anthony Kim,93,-.121,-9.679,80
137,127,Billy Andrade,88,-.134,-10.603,79
138,136,Chris Couch,76,-.135,-9.875,73
139,145,Kent Jones,97,-.141,-12.441,88
140,135,Steve Wheatcroft,73,-.153,-9.336,61
141,143,Paul Stankowski,52,-.159,-6.693,42
142,141,Michael Putnam,96,-.166,-13.276,80
143,147,Will MacKenzie,100,-.173,-15.760,91
144,148,Anders Hansen,55,-.176,-5.989,34
145,149,Peter Lonard,85,-.179,-13.638,76
146,151,Jason Bohn,57,-.185,-9.814,53
147,152,Ben Curtis,80,-.188,-12.027,64
148,155,Steve Marino,106,-.189,-17.178,91
149,144,Boo Weekley,101,-.192,-14.982,78
150,156,Nick Watney,87,-.198,-13.842,70
151,140,Woody Austin,95,-.208,-17.491,84
152,153,Mark Brooks,53,-.211,-8.668,41
153,150,Mark Calcavecchia,93,-.213,-15.559,73
154,164,Robert Gamez,88,-.215,-16.376,76
155,159,Duffy Waldorf,69,-.219,-12.909,59
156,142,Lee Janzen,66,-.226,-11.758,52
157,157,Jerry Kelly,101,-.227,-17.007,75
158,154,Johnson Wagner,97,-.229,-19.663,86
159,172,Scott Verplank,82,-.236,-13.949,59
160,161,Steve Flesch,100,-.244,-21.981,90
161,157,Jeff Brehaut,59,-.250,-12.270,49
161,162,John Senden,97,-.250,-20.969,84
163,146,Craig Barlow,52,-.253,-11.149,44
163,163,Trevor Immelman,74,-.253,-13.643,54
165,160,Daisuke Maruyama,86,-.265,-20.148,76
166,166,José Coceres,50,-.283,-11.873,42
167,167,Davis Love III,66,-.290,-15.357,53
168,168,Mike Weir,82,-.294,-17.641,60
168,165,Paul Gow,70,-.294,-16.785,57
170,170,John Daly,59,-.297,-14.570,49
171,173,Jeff Sluman,60,-.313,-13.151,42
172,169,Kyle Reifers,71,-.322,-20.313,63
173,174,Charles Warren,101,-.324,-30.135,93
174,175,Kenny Perry,83,-.337,-25.299,75
175,171,Matt Hendrix,63,-.339,-18.628,55
176,177,Tom Lehman,62,-.355,-17.371,49
177,178,Robert Allenby,90,-.364,-27.317,75
178,176,Ted Purdy,102,-.370,-32.178,87
179,180,Tom Johnson,74,-.372,-23.429,63
180,182,David Branshaw,83,-.382,-28.675,75
181,179,John Merrick,92,-.409,-33.164,81
182,181,Jaco Van Zyl,51,-.418,-18.386,44
183,184,Jim Rutledge,59,-.425,-19.531,46
184,183,Harrison Frazar,88,-.439,-32.060,73
185,184,Chad Campbell,96,-.477,-34.843,73
186,186,Alex Cejka,80,-.479,-35.455,74
187,187,Brett Wetterich,88,-.533,-37.315,70
188,188,D.J. Trahan,99,-.559,-50.275,90
188,190,J.B. Holmes,71,-.559,-35.772,64
190,188,Kirk Triplett,77,-.595,-40.454,68
191,191,Bubba Dickerson,51,-.660,-28.372,43
192,192,Kevin Stadler,95,-.750,-58.488,78
193,193,Jeff Gove,103,-.774,-72.786,94
194,194,Greg Owen,81,-.848,-59.382,70
195,195,Joe Durant,88,-.901,-65.779,73
196,196,Darron Stiles,65,-1.017,-53.911,53
